ParName   Value   Gradient
SR_parm[1]      6.95813 -9.38956e-006
recdev_early(-11)     0.137794 -1.9024e-005
recdev_early(-10)   -0.0189565 -4.03207e-006
recdev_early(-9)   -0.0326044 -4.6774e-006
recdev_early(-8)  -0.00103643 -5.75982e-006
recdev_early(-7)   -0.0386372 -6.52905e-006
recdev_early(-6)    -0.130171 -6.3001e-006
recdev_early(-5)   -0.0830456 -7.53651e-006
recdev_early(-4)   -0.0401889 -8.91757e-006
recdev_early(-3)   -0.0458525 -9.47676e-006
recdev_early(-2)     0.030833 -1.06286e-005
recdev_early(-1)   -0.0387927 -8.38762e-006
recdev_early(0)    -0.071199 -7.67094e-006
recdev1(1)   -0.0434707 -8.06806e-006
recdev1(2)    -0.262872 -5.33306e-006
recdev1(3)    -0.196504 -4.1796e-006
recdev1(4)     0.283633 -7.20159e-006
recdev1(5)     0.198177 -4.41479e-006
recdev1(6)    -0.113438 -2.02934e-006
recdev1(7)    -0.106441 -1.35886e-006
recdev1(8)     0.365029 -4.02791e-006
recdev1(9)     0.191989 -1.82264e-006
recdev1(10)     0.104553 -5.90352e-007
recdev1(11)     0.118305 -3.27679e-007
recdev1(12)    -0.491958 3.04513e-006
recdev1(13)    -0.140865   1.258e-006
recdev1(14)     0.170226 8.15639e-007
recdev1(15)    0.0433006  1.3911e-006
recdev1(16)    0.0996885  1.4011e-006
recdev1(17)   -0.0973672 2.43572e-006
recdev1(18)     0.020968 2.03089e-006
recdev1(19)    -0.249837 2.40509e-006
recdev1(20)    -0.157943 3.59694e-006
recdev1(21)    0.0354046 4.61032e-006
recdev1(22)    0.0425843 3.92115e-006
recdev1(23)    0.0985096  5.3209e-006
recdev1(24)     0.295338  4.9569e-006
recdev1(25)    -0.116068 4.15115e-006
recdev1(26)    0.0632687 2.48438e-006
recdev1(27)   -0.0876202 1.44038e-006
recdev1(28)   -0.0442428 -9.09759e-007
recdev1(29)   -0.0085931 -2.49632e-006
recdev1(30)   -0.0137543 -3.03129e-006
init_F[1]    0.0236816 5.67229e-006
F_rate[1]   0.00987804 -3.0727e-005
F_rate[2]    0.0283145 -3.88062e-007
F_rate[3]    0.0464257 -7.74502e-006
F_rate[4]    0.0630292 -4.83708e-006
F_rate[5]    0.0498841 -1.61321e-005
F_rate[6]    0.0889788 -5.75355e-006
F_rate[7]     0.089653 -4.51203e-006
F_rate[8]     0.189583 -2.7937e-006
F_rate[9]     0.111475 -2.57413e-006
F_rate[10]     0.134841 -1.46887e-006
F_rate[11]     0.155679 -3.57319e-007
F_rate[12]     0.165633 1.03394e-006
F_rate[13]     0.117305 6.59127e-007
F_rate[14]     0.169649 4.71261e-007
F_rate[15]     0.179486 -4.78682e-007
F_rate[16]     0.159748 -1.12066e-006
F_rate[17]     0.312592 -7.52069e-007
F_rate[18]     0.254627 2.24705e-007
F_rate[19]     0.250647 3.05772e-007
F_rate[20]     0.247735 6.67456e-007
F_rate[21]      0.34138 -5.84661e-007
F_rate[22]     0.249713 -6.30671e-007
F_rate[23]     0.411134 -1.99014e-006
F_rate[24]     0.339685 -1.62459e-006
F_rate[25]      0.33477 -1.76097e-006
F_rate[26]     0.302358 1.28955e-007
F_rate[27]     0.291033 6.58902e-007
F_rate[28]     0.405689  1.5343e-006
F_rate[29]     0.299378 1.62818e-006
F_rate[30]     0.436712 1.55107e-006
Q_parm[1]     -7.97541 1.58949e-008
selparm[1]      1.98297 3.69403e-006
selparm[2]      2.75783 3.82632e-007
selparm[3]      1.55832 -8.26717e-008
selparm[4]      1.56594 -4.21539e-009
