ParName   Value   Gradient
mean_log_rec      13.8148 2.90675e-006
log_Rzero      13.8206 4.63634e-008
rec_dev(-11)    -0.108253 4.15139e-007
rec_dev(-10)    -0.129451 1.42024e-006
rec_dev(-9)   -0.0904906 1.13753e-006
rec_dev(-8)     0.107794 1.33837e-006
rec_dev(-7)   -0.0692582 1.16642e-006
rec_dev(-6)   -0.0644089 1.02922e-006
rec_dev(-5)   -0.0428953 1.78964e-006
rec_dev(-4)     0.123187 2.04153e-006
rec_dev(-3)    0.0624778 2.33627e-006
rec_dev(-2)     0.122905  2.3957e-006
rec_dev(-1)    0.0445779 2.36822e-006
rec_dev(0)    0.0251166  2.1217e-006
rec_dev(1)    0.0184673 2.10273e-006
rec_dev(2)     0.301242 2.89055e-006
rec_dev(3)    0.0483233 2.20081e-006
rec_dev(4)     0.292391 2.60323e-006
rec_dev(5)   -0.0724273 1.52199e-006
rec_dev(6)     0.220178 1.62207e-006
rec_dev(7)      0.21112 1.17262e-006
rec_dev(8)     0.112859 8.57694e-007
rec_dev(9)    -0.137732 4.47146e-007
rec_dev(10)     -0.38558 1.07172e-007
rec_dev(11)    0.0323842 6.95896e-008
rec_dev(12)   0.00501143 2.03179e-007
rec_dev(13)    -0.442155 9.94301e-008
rec_dev(14)    0.0948375 -1.28096e-007
rec_dev(15)     0.108098 4.02767e-007
rec_dev(16)   -0.0511347 -1.29941e-007
rec_dev(17)   -0.0488208 4.04708e-007
rec_dev(18)    -0.176518 3.11388e-007
rec_dev(19)   -0.0612718 6.79558e-007
rec_dev(20)    -0.309829 9.62627e-007
rec_dev(21)    -0.111157 1.82142e-006
rec_dev(22)    -0.103028 3.21485e-006
rec_dev(23)    -0.333989 3.45968e-006
rec_dev(24)   -0.0779452 5.55407e-006
rec_dev(25)    -0.317659 4.33985e-006
rec_dev(26)   -0.0212658 6.14187e-006
rec_dev(27)   -0.0708743  4.5501e-006
rec_dev(28)    -0.333785 1.78985e-006
rec_dev(29)    -0.281931 9.17546e-007
rec_dev(30)    -0.375569 4.64354e-007
fmort(1,1)     0.008706 -7.14416e-006
fmort(1,2)    0.0250109 1.29241e-006
fmort(1,3)    0.0416212 3.55934e-006
fmort(1,4)    0.0567876 2.92683e-006
fmort(1,5)    0.0454135 3.31437e-006
fmort(1,6)    0.0806175 3.59782e-006
fmort(1,7)    0.0829456 3.38116e-006
fmort(1,8)     0.173421  1.4666e-006
fmort(1,9)     0.102029  2.4559e-006
fmort(1,10)     0.125193 1.90511e-006
fmort(1,11)     0.140652 1.59938e-006
fmort(1,12)     0.151148  9.0886e-007
fmort(1,13)     0.109143 6.25714e-007
fmort(1,14)     0.158665 3.94611e-007
fmort(1,15)     0.169412 2.40956e-007
fmort(1,16)     0.151068  7.0311e-008
fmort(1,17)     0.291857 -9.10317e-007
fmort(1,18)     0.239789 -2.52269e-006
fmort(1,19)     0.236774 -7.43665e-007
fmort(1,20)     0.232026 -1.0032e-006
fmort(1,21)     0.326157 -9.70357e-007
fmort(1,22)     0.235828 -8.66871e-007
fmort(1,23)      0.38472 -1.16859e-006
fmort(1,24)     0.314476 -6.8262e-007
fmort(1,25)     0.308647  -5.515e-007
fmort(1,26)     0.275219 -6.65701e-008
fmort(1,27)     0.263411 8.55412e-007
fmort(1,28)     0.356568 1.09935e-006
fmort(1,29)     0.262149  2.8332e-006
fmort(1,30)      0.38213 2.64618e-006
logsel_slope_fsh[1](1)  -0.00483592 1.81612e-007
sel50_fsh[1](1)      1.94979  2.2857e-010
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.9521 4.10949e-008
logsel_slope_ind[1](1)     0.739111 5.81555e-008
sel50_ind[1](1)      1.40036 -6.71497e-008
repl_F    0.0562524 -1.63934e-007
