ParName   Value   Gradient
mean_log_rec      13.7981 -6.87103e-005
log_Rzero      13.7705 -1.38256e-005
rec_dev(-11)    0.0303094 -5.66743e-005
rec_dev(-10)    0.0372472 -7.15467e-005
rec_dev(-9)     0.103862 -0.000151208
rec_dev(-8)    -0.123605 -7.53101e-005
rec_dev(-7)   -0.0789561 -0.000110758
rec_dev(-6)     0.029535 -0.000156256
rec_dev(-5)    -0.123546  -0.00013331
rec_dev(-4)    0.0024267 -0.000191789
rec_dev(-3)    0.0110755 -0.000193314
rec_dev(-2)     0.030189 -0.000199298
rec_dev(-1)    0.0795539 -0.000193125
rec_dev(0)   -0.0648892 -0.000139205
rec_dev(1)    0.0679031 -0.000133123
rec_dev(2)    0.0329579 -9.62884e-005
rec_dev(3)    -0.233622 -5.02948e-005
rec_dev(4)    -0.110098 -4.58212e-005
rec_dev(5)      0.15304 -4.39616e-005
rec_dev(6)    -0.170514 -2.05482e-005
rec_dev(7)   -0.0915341 -2.35871e-005
rec_dev(8)   -0.0105435 -2.20363e-005
rec_dev(9)    -0.377994 -8.76918e-006
rec_dev(10)    0.0106226 -1.78364e-005
rec_dev(11)    -0.234677 -1.00079e-005
rec_dev(12)    0.0126036 -1.42243e-005
rec_dev(13)     0.090367 -1.50855e-005
rec_dev(14)    -0.223935 -1.54435e-005
rec_dev(15)    -0.145726 -1.55112e-005
rec_dev(16)    -0.160159 -1.73584e-005
rec_dev(17)    -0.209159 -1.90368e-005
rec_dev(18)   -0.0805849 -2.7086e-005
rec_dev(19)    -0.260869 -2.75962e-005
rec_dev(20)    -0.185255 -3.33414e-005
rec_dev(21)    -0.587247 -1.46329e-005
rec_dev(22)   0.00309153 -7.87147e-006
rec_dev(23)    -0.213452 1.52677e-005
rec_dev(24)    0.0559677 7.21314e-005
rec_dev(25)    -0.271569 9.31304e-005
rec_dev(26)      0.01238  0.000176532
rec_dev(27)   -0.0941874   0.00016979
rec_dev(28)    -0.231989  0.000117321
rec_dev(29)    -0.274028 7.23831e-005
rec_dev(30)    -0.501578 2.26504e-005
fmort(1,1)   0.00901276  -0.00136553
fmort(1,2)    0.0262068 -0.000661082
fmort(1,3)    0.0431828 -0.000400787
fmort(1,4)    0.0589604 -0.000285417
fmort(1,5)    0.0468539 -0.000279772
fmort(1,6)    0.0854461 -8.45952e-005
fmort(1,7)    0.0864474 -8.33218e-005
fmort(1,8)      0.18487 -1.32632e-005
fmort(1,9)     0.108044 -3.57914e-005
fmort(1,10)     0.130609 -2.14465e-005
fmort(1,11)     0.149732 -1.10423e-005
fmort(1,12)     0.160951 -7.51093e-006
fmort(1,13)     0.114641 -1.82827e-005
fmort(1,14)     0.166576 -3.50921e-006
fmort(1,15)     0.177094 -1.23394e-005
fmort(1,16)     0.158909 -1.36731e-005
fmort(1,17)     0.307957 2.29362e-005
fmort(1,18)     0.251047 2.34175e-006
fmort(1,19)     0.252004 -2.54147e-006
fmort(1,20)     0.250316 2.68333e-005
fmort(1,21)     0.349057 5.78295e-006
fmort(1,22)     0.253718 -2.91735e-005
fmort(1,23)     0.410715 -3.90541e-006
fmort(1,24)     0.335386 -2.03619e-005
fmort(1,25)     0.331084 -5.07125e-005
fmort(1,26)     0.301121 -8.5751e-005
fmort(1,27)     0.294479 -0.000103811
fmort(1,28)     0.411867 -6.85167e-005
fmort(1,29)     0.311257 4.82879e-005
fmort(1,30)     0.464374  0.000187723
logsel_slope_fsh[1](1)    0.0436942 -3.39217e-006
sel50_fsh[1](1)      1.98654 6.44833e-006
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8448 5.36543e-007
logsel_slope_ind[1](1)     0.697695 -8.27981e-007
sel50_ind[1](1)      1.48508 -5.76394e-006
repl_F    0.0156241 -1.80617e-007
