ParName   Value   Gradient
mean_log_rec      13.7765 2.03004e-005
log_Rzero      13.7132 1.12924e-006
rec_dev(-11)   -0.0777495  5.0699e-006
rec_dev(-10)   -0.0934834 6.84127e-006
rec_dev(-9)   -0.0164864 7.44077e-006
rec_dev(-8)     0.019847 8.85955e-006
rec_dev(-7)    -0.119011 8.70233e-006
rec_dev(-6)    0.0157932 1.25723e-005
rec_dev(-5)   -0.0491907 1.11962e-005
rec_dev(-4)   -0.0217968 1.15785e-005
rec_dev(-3)    0.0578017 1.48889e-005
rec_dev(-2)     0.127626  1.5917e-005
rec_dev(-1)    0.0696336 1.41882e-005
rec_dev(0)     0.140932 1.25368e-005
rec_dev(1)   -0.0513835 8.81355e-006
rec_dev(2)     0.109851 7.14214e-006
rec_dev(3)     0.251717 5.76796e-006
rec_dev(4)     0.112733 3.43991e-006
rec_dev(5)    -0.409688 2.42412e-006
rec_dev(6)   -0.0975287 2.37384e-006
rec_dev(7)    -0.330661  2.0341e-006
rec_dev(8)     0.166356 3.08703e-006
rec_dev(9)    0.0818284 3.24748e-006
rec_dev(10)    -0.126767 2.75795e-006
rec_dev(11)    0.0448613  3.4563e-006
rec_dev(12)    0.0130957 3.55343e-006
rec_dev(13)    -0.132332 3.51192e-006
rec_dev(14)   -0.0711389 4.24941e-006
rec_dev(15)    0.0374894 5.87705e-006
rec_dev(16)    -0.185925 5.50791e-006
rec_dev(17)    -0.206582 7.47916e-006
rec_dev(18)    0.0199246 1.19712e-005
rec_dev(19)    -0.313535 1.02963e-005
rec_dev(20)     0.130391 2.16653e-005
rec_dev(21)    -0.161131  2.1333e-005
rec_dev(22)    -0.426127 2.12556e-005
rec_dev(23)    -0.389084 2.71519e-005
rec_dev(24)    -0.795861 2.31914e-005
rec_dev(25)    -0.270738 3.79449e-005
rec_dev(26)    -0.314776 3.51606e-005
rec_dev(27)    -0.305624 2.94669e-005
rec_dev(28)    -0.490301 1.78952e-005
rec_dev(29)    -0.434836 1.08961e-005
rec_dev(30)    -0.356695  4.6536e-006
fmort(1,1)   0.00934755  0.000102713
fmort(1,2)    0.0268485 4.98372e-005
fmort(1,3)    0.0441836 3.28181e-005
fmort(1,4)    0.0601662 2.25999e-005
fmort(1,5)    0.0479075 2.21336e-005
fmort(1,6)    0.0859764 1.05267e-005
fmort(1,7)    0.0874261 9.70855e-006
fmort(1,8)     0.186226 5.12959e-007
fmort(1,9)     0.107733 3.39486e-006
fmort(1,10)     0.133887 1.43384e-006
fmort(1,11)     0.151688 2.42399e-007
fmort(1,12)     0.164379 -4.73856e-007
fmort(1,13)     0.120509 -7.42633e-007
fmort(1,14)     0.176734 1.05924e-006
fmort(1,15)     0.187712 -3.02393e-006
fmort(1,16)     0.168895 5.59617e-007
fmort(1,17)     0.328118 -3.89507e-006
fmort(1,18)      0.26765 -1.88017e-006
fmort(1,19)     0.264589 -1.97802e-006
fmort(1,20)     0.258193 -3.73333e-006
fmort(1,21)     0.358067 -5.24516e-006
fmort(1,22)     0.260489 -6.89222e-006
fmort(1,23)     0.420131 -1.06204e-005
fmort(1,24)     0.345888 -1.22943e-005
fmort(1,25)     0.343031 -8.13181e-006
fmort(1,26)     0.313498 -3.16663e-006
fmort(1,27)     0.309408 -1.03711e-006
fmort(1,28)     0.439177 -7.07292e-006
fmort(1,29)     0.337465  1.8933e-005
fmort(1,30)     0.508797 2.12796e-005
logsel_slope_fsh[1](1)   -0.0599691 7.97301e-007
sel50_fsh[1](1)      2.07023 8.98357e-007
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8486 2.21182e-007
logsel_slope_ind[1](1)     0.715699 7.66746e-008
sel50_ind[1](1)      1.49612 -7.58907e-008
repl_F    0.0852954 -9.74925e-008
