V1,V2,V3,V4
0.00,0.00,0.00,0.00
0.01,0.01,0.01,0.01
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.01,0.00,0.00,0.01
-0.01,0.00,0.00,0.00
0.00,0.01,0.01,0.00
-0.03,0.00,0.01,-0.01
