ParName   Value   Gradient
mean_log_rec       13.704 1.29379e-007
log_Rzero      13.7749 -3.60399e-009
rec_dev(-11)   -0.0346827 -1.11084e-007
rec_dev(-10)   -0.0420601   -1.55e-007
rec_dev(-9)    0.0343206 1.54923e-007
rec_dev(-8)   -0.0256437 -6.22083e-008
rec_dev(-7)   -0.0827455 -7.16105e-008
rec_dev(-6)    -0.121864 -1.36793e-007
rec_dev(-5)     0.133773 6.96483e-008
rec_dev(-4)    0.0602117 1.39055e-008
rec_dev(-3)   -0.0817188 -4.10264e-008
rec_dev(-2)      0.08776 -1.03751e-008
rec_dev(-1)   -0.0311167 -1.71511e-008
rec_dev(0)   0.00291205 -3.84657e-008
rec_dev(1)    0.0980201 -1.91921e-008
rec_dev(2)     -0.12731 -5.0097e-008
rec_dev(3)   0.00457369 -4.66172e-008
rec_dev(4)     0.349981 -2.8613e-008
rec_dev(5)     0.215347 -2.53002e-008
rec_dev(6)     0.374769 1.50355e-009
rec_dev(7)   0.00671565 -3.00482e-008
rec_dev(8)    0.0362169 -2.20825e-008
rec_dev(9)    0.0293424 -2.9632e-008
rec_dev(10)    -0.296254 -2.65234e-008
rec_dev(11)     0.170026 8.48075e-009
rec_dev(12)     0.071363 -1.23628e-008
rec_dev(13)    -0.387836 -2.62591e-008
rec_dev(14)   -0.0948514 -2.27077e-008
rec_dev(15)   -0.0739484 5.27935e-009
rec_dev(16)    -0.128625  1.1283e-008
rec_dev(17)    -0.042401 4.42861e-008
rec_dev(18)   -0.0104977 8.86487e-008
rec_dev(19)    -0.233982 8.53121e-008
rec_dev(20)     0.423502  2.7847e-007
rec_dev(21)    -0.122907 2.11408e-007
rec_dev(22)     0.142988 4.02917e-007
rec_dev(23)    -0.112055 3.58333e-007
rec_dev(24)   -0.0479564 4.99349e-007
rec_dev(25)     0.023584 6.02631e-007
rec_dev(26)    -0.454278 3.45989e-007
rec_dev(27)    -0.138997 4.48963e-007
rec_dev(28)   -0.0551954 3.08218e-007
rec_dev(29)      -0.3903  1.0739e-008
rec_dev(30)    -0.222131 -3.01236e-008
fmort(1,1)   0.00965998 -5.2277e-007
fmort(1,2)    0.0282154 5.25024e-007
fmort(1,3)    0.0468653 -2.42406e-007
fmort(1,4)    0.0628884 -1.73176e-007
fmort(1,5)    0.0504984 7.85644e-008
fmort(1,6)    0.0905773 -1.36485e-007
fmort(1,7)    0.0916786 -6.50168e-008
fmort(1,8)     0.192216 -1.70596e-008
fmort(1,9)     0.111644 -1.60572e-007
fmort(1,10)     0.136542 -6.44894e-008
fmort(1,11)     0.153655 -1.77971e-008
fmort(1,12)      0.16308 -1.95165e-009
fmort(1,13)     0.116879 -1.96246e-008
fmort(1,14)     0.169721 -4.01438e-009
fmort(1,15)     0.180538 -2.90385e-008
fmort(1,16)     0.160744 2.55412e-008
fmort(1,17)     0.314961 -1.39672e-008
fmort(1,18)     0.256829 9.61661e-009
fmort(1,19)     0.255969 -8.66988e-008
fmort(1,20)     0.253091 2.21081e-008
fmort(1,21)     0.350046 -3.58995e-008
fmort(1,22)      0.25002 -1.93491e-008
fmort(1,23)     0.408023 -1.12193e-007
fmort(1,24)     0.338699 -1.20322e-007
fmort(1,25)     0.337625 -1.71794e-007
fmort(1,26)     0.305263 -1.5717e-007
fmort(1,27)     0.294313 -1.43441e-007
fmort(1,28)     0.406584 -9.23543e-008
fmort(1,29)       0.2994  1.9426e-007
fmort(1,30)      0.43358 4.21404e-007
logsel_slope_fsh[1](1)    0.0879077 6.67022e-009
sel50_fsh[1](1)      2.03838 2.33665e-008
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8587 6.78403e-009
logsel_slope_ind[1](1)     0.613003 -4.09507e-010
sel50_ind[1](1)      1.51938 -2.76286e-008
repl_F    0.0618678 2.67878e-009
