ParName   Value   Gradient
mean_log_rec      13.7502 1.65651e-005
log_Rzero      13.7944 3.74645e-006
rec_dev(-11)  0.000133337 1.16943e-005
rec_dev(-10)  0.000168797 1.57283e-005
rec_dev(-9)   -0.0667865 1.83449e-005
rec_dev(-8)   -0.0968199 2.00451e-005
rec_dev(-7)    0.0216926  4.1962e-005
rec_dev(-6)   -0.0453639 4.02855e-005
rec_dev(-5)    0.0262138  5.0594e-005
rec_dev(-4)    -0.108783 4.51983e-005
rec_dev(-3)     0.022565 5.82412e-005
rec_dev(-2)    0.0743755 6.18722e-005
rec_dev(-1)     0.100792 6.06612e-005
rec_dev(0)    0.0480557 4.95926e-005
rec_dev(1)    0.0219875 4.05153e-005
rec_dev(2)    -0.124381 2.50346e-005
rec_dev(3)     0.139582  3.0413e-005
rec_dev(4)     0.446241 8.42952e-006
rec_dev(5)    0.0506948 1.70715e-005
rec_dev(6)     0.141858 1.20898e-005
rec_dev(7)   -0.0807845 9.46021e-006
rec_dev(8)     0.356993  1.0931e-005
rec_dev(9)     -0.13175 7.93192e-007
rec_dev(10)     0.210802 5.52235e-006
rec_dev(11)     0.176068 4.10158e-006
rec_dev(12)    -0.199251  5.4334e-006
rec_dev(13)   -0.0931023 8.18429e-006
rec_dev(14)   -0.0229992 1.19294e-005
rec_dev(15)    -0.295314 8.85695e-006
rec_dev(16)    -0.120473 1.23004e-005
rec_dev(17)   0.00309018  8.6844e-006
rec_dev(18)    -0.278424 1.00896e-006
rec_dev(19)     0.174854 -1.03437e-006
rec_dev(20)    -0.183801 -9.3083e-006
rec_dev(21)    -0.235509 -9.99102e-006
rec_dev(22)      0.12655 -1.96085e-005
rec_dev(23)    -0.491518 -1.51682e-005
rec_dev(24)      -0.5306  -2.275e-005
rec_dev(25)   -0.0979803 -4.52337e-005
rec_dev(26)     -0.24442 -5.3375e-005
rec_dev(27)    -0.420769 -5.46788e-005
rec_dev(28)    -0.164791 -5.07013e-005
rec_dev(29)    -0.250701 -2.57504e-005
rec_dev(30)   -0.0998543 -7.84305e-006
fmort(1,1)   0.00932089  0.000341988
fmort(1,2)     0.027114   0.00014798
fmort(1,3)    0.0452917  0.000103362
fmort(1,4)     0.061091 7.65094e-005
fmort(1,5)    0.0488379 8.66909e-005
fmort(1,6)    0.0866617 3.47634e-005
fmort(1,7)    0.0889731 3.01242e-005
fmort(1,8)      0.18452 1.03353e-005
fmort(1,9)     0.107886 2.35801e-005
fmort(1,10)     0.131823 2.12768e-005
fmort(1,11)     0.151165 9.55773e-006
fmort(1,12)     0.161321 1.19617e-005
fmort(1,13)     0.116073 6.94976e-006
fmort(1,14)     0.167388 -1.76935e-007
fmort(1,15)     0.182097 -1.05511e-005
fmort(1,16)     0.161296 -1.93815e-006
fmort(1,17)     0.314667 -5.10268e-006
fmort(1,18)     0.260669  1.4602e-006
fmort(1,19)     0.256241  3.2553e-006
fmort(1,20)     0.249707 6.48061e-006
fmort(1,21)     0.342827 2.10452e-005
fmort(1,22)     0.249186 1.55823e-005
fmort(1,23)     0.411172 -1.03728e-006
fmort(1,24)     0.343683 6.49954e-006
fmort(1,25)     0.345042 1.86506e-005
fmort(1,26)     0.317208 2.59242e-005
fmort(1,27)     0.312353  2.7985e-005
fmort(1,28)     0.442028 2.43646e-005
fmort(1,29)      0.33148 -2.63173e-005
fmort(1,30)     0.511698 -5.13364e-005
logsel_slope_fsh[1](1)    0.0048813 1.24939e-006
sel50_fsh[1](1)      2.04478 -2.11874e-006
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]      -14.873 1.04506e-006
logsel_slope_ind[1](1)     0.639882 -9.13904e-008
sel50_ind[1](1)       1.5305  1.5772e-006
repl_F     0.136253 -2.08126e-007
