ParName   Value   Gradient
mean_log_rec      13.7987 -6.49619e-006
log_Rzero      13.7923 -7.0148e-007
rec_dev(-11)   -0.0385433 -4.81808e-006
rec_dev(-10)   -0.0466906 -3.75942e-006
rec_dev(-9)   -0.0730494 -6.03824e-006
rec_dev(-8)   -0.0426441 -4.18559e-006
rec_dev(-7)    0.0800086 -5.42021e-006
rec_dev(-6)    -0.147938 -7.17907e-006
rec_dev(-5)     0.177554 -7.62399e-006
rec_dev(-4)  0.000647181 -8.4591e-006
rec_dev(-3)    0.0705007 -8.8405e-006
rec_dev(-2)    0.0492697 -9.39269e-006
rec_dev(-1)     0.041312 -8.80952e-006
rec_dev(0)   -0.0499036 -7.19047e-006
rec_dev(1)   -0.0202671 -6.08004e-006
rec_dev(2)    0.0795038 -5.29561e-006
rec_dev(3)    -0.104147   -3.98e-006
rec_dev(4)     0.287492 -5.27218e-006
rec_dev(5)     0.258969 -4.52092e-006
rec_dev(6)   -0.0486116 -3.22076e-006
rec_dev(7)    0.0989232 -3.0059e-006
rec_dev(8)    -0.189453 -2.76059e-006
rec_dev(9)    0.0169941 -2.52564e-006
rec_dev(10)     0.123921 -2.98324e-006
rec_dev(11)    -0.530474 -2.66973e-006
rec_dev(12)     0.290934 -4.37535e-006
rec_dev(13)     0.162137 -3.98509e-006
rec_dev(14)    -0.176758 -2.86551e-006
rec_dev(15)    -0.326191 -3.02164e-006
rec_dev(16)    -0.200736 -3.49091e-006
rec_dev(17)    -0.329377 -3.08238e-006
rec_dev(18)    -0.218997 -2.97699e-006
rec_dev(19)    -0.301728 -2.70566e-006
rec_dev(20)   -0.0907157 -2.7114e-006
rec_dev(21)   -0.0328381 -1.97466e-006
rec_dev(22)    -0.393179 -9.81068e-007
rec_dev(23)     0.271065 -7.29841e-007
rec_dev(24)    -0.156253  6.4237e-007
rec_dev(25)    -0.364707 1.00637e-006
rec_dev(26)   0.00741422 6.84015e-007
rec_dev(27)    -0.386773 7.60716e-007
rec_dev(28)    -0.218696   2.236e-007
rec_dev(29)    -0.404045 -7.86247e-007
rec_dev(30)    -0.262022 -2.28906e-007
fmort(1,1)   0.00880448 -7.03076e-005
fmort(1,2)    0.0254728 -3.08796e-005
fmort(1,3)    0.0423619 -1.57255e-005
fmort(1,4)     0.057509 -1.16092e-005
fmort(1,5)    0.0459884 -1.06071e-005
fmort(1,6)    0.0837847 -7.0764e-006
fmort(1,7)    0.0848916 -5.80487e-006
fmort(1,8)     0.177563 -2.86442e-006
fmort(1,9)     0.102577 -3.22316e-006
fmort(1,10)     0.124812 -2.13625e-006
fmort(1,11)     0.143016 -8.43052e-007
fmort(1,12)     0.153673 -1.22994e-006
fmort(1,13)     0.110886 -1.37391e-006
fmort(1,14)      0.16027 -4.78747e-007
fmort(1,15)     0.170296 -5.2818e-007
fmort(1,16)     0.152023 1.80275e-006
fmort(1,17)     0.297274 -5.72048e-007
fmort(1,18)     0.242084 -6.77626e-007
fmort(1,19)     0.243205 -8.81213e-007
fmort(1,20)     0.237309 1.52263e-006
fmort(1,21)     0.329289 2.62878e-007
fmort(1,22)     0.240506 -2.40778e-007
fmort(1,23)     0.390476 -1.99268e-006
fmort(1,24)     0.324022 1.41122e-007
fmort(1,25)     0.325929 9.76893e-007
fmort(1,26)     0.301613 -1.99483e-006
fmort(1,27)     0.295367 2.70849e-006
fmort(1,28)     0.415016  -9.962e-008
fmort(1,29)     0.314433 1.67365e-007
fmort(1,30)     0.470873 -1.13845e-006
logsel_slope_fsh[1](1)   0.00591441 -1.94498e-007
sel50_fsh[1](1)      1.89573  2.4151e-007
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8531 8.49348e-008
logsel_slope_ind[1](1)     0.702937    6.28e-008
sel50_ind[1](1)      1.49726 -3.86458e-007
repl_F     0.048183 -7.18085e-009
