ParName   Value   Gradient
SR_parm[1]      6.96713 -9.78399e-005
recdev_early(-11)    -0.080805 -8.40852e-006
recdev_early(-10)    0.0708135   1.912e-006
recdev_early(-9)     0.031278 7.78341e-006
recdev_early(-8)    0.0330262 -5.42532e-006
recdev_early(-7)   -0.0279888 -7.7769e-006
recdev_early(-6)    0.0468136 -9.06753e-006
recdev_early(-5)    0.0746312 -1.04386e-005
recdev_early(-4)    -0.112838 -7.59004e-006
recdev_early(-3)    0.0282761 -1.10209e-005
recdev_early(-2)   -0.0716283 -1.09867e-005
recdev_early(-1)    0.0517858 -1.26164e-005
recdev_early(0)   -0.0254039 -1.68687e-005
recdev1(1)     -0.21091 -2.08525e-005
recdev1(2)    -0.161858 -1.83531e-005
recdev1(3)    -0.125891 -1.64566e-005
recdev1(4)    0.0693977 -1.27445e-005
recdev1(5)   -0.0279641 -2.24161e-005
recdev1(6)    -0.187374 -4.07527e-005
recdev1(7)     0.249882 -1.41042e-005
recdev1(8)   -0.0428662 -3.5285e-005
recdev1(9)     0.302883 -2.17664e-005
recdev1(10)     0.141284 -3.17768e-005
recdev1(11)      0.24439 -2.67577e-005
recdev1(12)     0.123091 -1.99646e-005
recdev1(13)      0.10841 -2.78781e-005
recdev1(14)     0.227089 -2.44712e-005
recdev1(15)     0.221215 -2.5955e-005
recdev1(16)    -0.305183 -3.03365e-006
recdev1(17)    -0.243168 7.22623e-006
recdev1(18)     0.123762 3.01836e-006
recdev1(19)    0.0713115 8.80692e-006
recdev1(20)    -0.120655 4.56598e-005
recdev1(21)    -0.142812 4.53557e-005
recdev1(22)    0.0422717 3.76836e-005
recdev1(23)    -0.287499 6.05464e-005
recdev1(24)    -0.127773 3.25735e-005
recdev1(25)     -0.21182 3.13227e-005
recdev1(26)   -0.0363061 2.18792e-005
recdev1(27)     0.117311 2.27188e-005
recdev1(28)     0.129427 1.80061e-005
recdev1(29)    0.0585547 1.58411e-005
recdev1(30)   0.00180078 1.22828e-005
init_F[1]    0.0206263 3.10378e-006
F_rate[1]    0.0097037 9.20774e-006
F_rate[2]     0.027631 8.96568e-006
F_rate[3]    0.0452593 1.00963e-005
F_rate[4]    0.0604158 -3.05484e-006
F_rate[5]    0.0479714 -2.95763e-006
F_rate[6]    0.0870641 9.33463e-007
F_rate[7]    0.0887336 2.66512e-006
F_rate[8]     0.185687 6.45204e-006
F_rate[9]     0.109318 4.88741e-006
F_rate[10]     0.132659 -2.36345e-006
F_rate[11]     0.150692 -1.81171e-006
F_rate[12]     0.159587 -3.0628e-007
F_rate[13]     0.115942 -9.00694e-006
F_rate[14]      0.16671 -1.28872e-006
F_rate[15]     0.176283 -2.25875e-006
F_rate[16]     0.158845 -3.95986e-006
F_rate[17]     0.306312 9.77234e-007
F_rate[18]     0.249023 -4.39125e-006
F_rate[19]     0.249338 -7.97151e-006
F_rate[20]     0.244511 -9.90747e-006
F_rate[21]     0.337146 -9.58251e-006
F_rate[22]     0.249273 -1.18487e-005
F_rate[23]     0.407711 -1.24014e-005
F_rate[24]      0.33086 -5.01701e-006
F_rate[25]     0.330005 -3.96079e-006
F_rate[26]     0.302994  3.9106e-006
F_rate[27]     0.297982 1.22579e-005
F_rate[28]     0.419826 1.65363e-005
F_rate[29]     0.319898 2.49827e-006
F_rate[30]     0.483348 -5.48714e-006
Q_parm[1]     -7.98336 -1.04782e-006
selparm[1]      1.89313 4.40368e-007
selparm[2]      2.62094  1.1693e-006
selparm[3]      1.56233 3.61649e-006
selparm[4]      1.47327 -2.11985e-006
