ParName   Value   Gradient
mean_log_rec      13.7563 -5.25444e-006
log_Rzero      13.7842 -2.19547e-007
rec_dev(-11)    -0.125794 5.57563e-007
rec_dev(-10)    -0.149967 7.56899e-007
rec_dev(-9)   -0.0456886 7.74931e-007
rec_dev(-8)    0.0781638 -3.25539e-006
rec_dev(-7)    0.0445215 -1.63418e-006
rec_dev(-6)   -0.0559066 -1.9922e-006
rec_dev(-5)   -0.0030043 -3.32982e-006
rec_dev(-4)    0.0125252 -3.76091e-006
rec_dev(-3)    -0.015266 -3.90284e-006
rec_dev(-2)     0.148612 -5.40641e-006
rec_dev(-1)    0.0636664 -5.06843e-006
rec_dev(0)    0.0520387 -4.84255e-006
rec_dev(1)  -0.00501734 -4.85099e-006
rec_dev(2)   -0.0488371 -4.37659e-006
rec_dev(3)    -0.112309 -3.03386e-006
rec_dev(4)    -0.147647 -2.85215e-006
rec_dev(5)     0.252084 -3.82502e-006
rec_dev(6)     0.172003 -4.15636e-006
rec_dev(7)     0.108932 -4.35039e-006
rec_dev(8)     0.103292 -4.52457e-006
rec_dev(9)   0.00383768 -4.26631e-006
rec_dev(10)     0.218064 -4.9398e-006
rec_dev(11)   0.00651852 -4.53141e-006
rec_dev(12)   -0.0806138 -3.92747e-006
rec_dev(13)   -0.0561981 -3.73622e-006
rec_dev(14)    0.0122828 -4.55745e-006
rec_dev(15)    -0.025251 -5.10487e-006
rec_dev(16)     0.137126 -8.21786e-006
rec_dev(17)    -0.336041 -3.85559e-006
rec_dev(18)   -0.0264157 -7.47237e-006
rec_dev(19)     0.120709 -9.22414e-006
rec_dev(20)    0.0180516 -8.81318e-006
rec_dev(21)    -0.218276 -6.49354e-006
rec_dev(22)    -0.297483 -6.19949e-006
rec_dev(23)  -0.00423122 -7.17868e-006
rec_dev(24)    -0.275702 -2.93658e-006
rec_dev(25)    0.0783405 -3.66498e-007
rec_dev(26)    -0.254705 4.50925e-006
rec_dev(27)    -0.247014 8.14194e-006
rec_dev(28)    -0.260214  9.9677e-006
rec_dev(29)    -0.600194 5.85678e-006
rec_dev(30)   -0.0592737 2.51377e-006
fmort(1,1)   0.00928623 1.65291e-005
fmort(1,2)    0.0265713 4.76053e-006
fmort(1,3)    0.0444797 -1.57736e-005
fmort(1,4)    0.0597356 -5.59241e-006
fmort(1,5)     0.048029 -1.25381e-005
fmort(1,6)    0.0875726 -5.39984e-006
fmort(1,7)     0.089537 -1.2537e-007
fmort(1,8)     0.190096 4.84329e-006
fmort(1,9)     0.112465 -4.93203e-006
fmort(1,10)     0.137549 -1.05784e-006
fmort(1,11)     0.156137 6.12995e-007
fmort(1,12)     0.168019 -8.8261e-007
fmort(1,13)      0.12075 -2.58794e-006
fmort(1,14)     0.174139 -6.42519e-007
fmort(1,15)     0.184487 -1.0951e-007
fmort(1,16)     0.167071 -1.00227e-007
fmort(1,17)     0.321504 4.31524e-007
fmort(1,18)     0.266649 7.75831e-007
fmort(1,19)     0.264065 7.60412e-007
fmort(1,20)     0.260024 5.89365e-006
fmort(1,21)     0.367411 9.83516e-007
fmort(1,22)       0.2674 -9.89431e-007
fmort(1,23)     0.441961 -8.43317e-008
fmort(1,24)     0.374962 -1.19901e-006
fmort(1,25)     0.377981 -2.02357e-006
fmort(1,26)     0.350732 -5.77932e-006
fmort(1,27)     0.353317 -1.0183e-005
fmort(1,28)     0.505882 -9.60208e-006
fmort(1,29)     0.401249 -7.3242e-006
fmort(1,30)     0.640363  1.4528e-005
logsel_slope_fsh[1](1)  -0.00395982 -3.87697e-007
sel50_fsh[1](1)      2.01983 -7.03629e-008
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8356 3.41824e-008
logsel_slope_ind[1](1)     0.675904 -2.03834e-007
sel50_ind[1](1)       1.4543 2.78105e-007
repl_F    0.0450113 3.48496e-009
