ParName   Value   Gradient
mean_log_rec      13.7749 1.47358e-007
log_Rzero      13.8852 1.50413e-008
rec_dev(-11)    -0.115627 2.07624e-008
rec_dev(-10)    -0.138093 -3.38856e-008
rec_dev(-9)    0.0254322 -5.07513e-008
rec_dev(-8)    -0.165877 2.57951e-008
rec_dev(-7)    0.0150994 -1.16167e-007
rec_dev(-6)   -0.0510998 -1.02421e-007
rec_dev(-5)    0.0300829 -9.48042e-009
rec_dev(-4)    0.0725376 3.46323e-008
rec_dev(-3)     0.171309 -6.28672e-008
rec_dev(-2)    0.0384196 -8.2651e-008
rec_dev(-1)     0.027977 -8.00307e-008
rec_dev(0)   -0.0325179 -5.88412e-008
rec_dev(1)     0.117947 -1.06453e-007
rec_dev(2)      0.02429 -1.0503e-007
rec_dev(3)   0.00295092 -9.6808e-008
rec_dev(4)     0.360977 -1.15869e-007
rec_dev(5)     0.279779 -6.92089e-008
rec_dev(6)     0.154482 4.15094e-009
rec_dev(7)   -0.0303763 -2.38032e-008
rec_dev(8)    -0.278081 5.24141e-008
rec_dev(9)    -0.204735 4.04303e-008
rec_dev(10)     0.218231 1.64372e-007
rec_dev(11)    0.0036698 1.42356e-007
rec_dev(12)    0.0288847 2.28087e-007
rec_dev(13)   -0.0846408 1.88763e-007
rec_dev(14)     0.303936 5.70332e-007
rec_dev(15)   -0.0832374 3.85538e-007
rec_dev(16)    0.0335794 4.25679e-007
rec_dev(17)     0.253771 5.70955e-007
rec_dev(18)     0.103968 4.38944e-007
rec_dev(19)  0.000399988 3.50525e-007
rec_dev(20)     0.232647  4.2568e-007
rec_dev(21)    0.0638437 2.14202e-007
rec_dev(22)    -0.248788 1.13541e-007
rec_dev(23)    0.0615118 1.82227e-007
rec_dev(24)   -0.0744297 1.76366e-007
rec_dev(25)    -0.211259 8.58103e-008
rec_dev(26)   -0.0166488 7.54235e-008
rec_dev(27)     0.279759 -5.99748e-008
rec_dev(28)    -0.128446 -1.64619e-007
rec_dev(29)   -0.0169224 -1.43665e-007
rec_dev(30)    -0.250321 -7.40135e-009
fmort(1,1)   0.00876977 -3.74117e-007
fmort(1,2)    0.0254676 -4.6273e-007
fmort(1,3)    0.0424907 -9.39792e-008
fmort(1,4)    0.0568826 -1.42923e-009
fmort(1,5)     0.045718 -1.52064e-007
fmort(1,6)    0.0819118 -2.90231e-007
fmort(1,7)     0.083076 -1.39676e-007
fmort(1,8)     0.175404 -3.25204e-008
fmort(1,9)     0.102332 1.51201e-007
fmort(1,10)     0.125694 5.95416e-008
fmort(1,11)     0.143001 1.89282e-008
fmort(1,12)     0.152894 -1.24178e-007
fmort(1,13)     0.110625 -1.65298e-007
fmort(1,14)     0.159354 -1.96184e-007
fmort(1,15)     0.169078 -1.38847e-007
fmort(1,16)     0.152043 -5.43319e-008
fmort(1,17)     0.299913 -1.45489e-007
fmort(1,18)     0.241499 -1.03714e-007
fmort(1,19)     0.239615 -3.38452e-008
fmort(1,20)     0.237194 -5.24843e-008
fmort(1,21)     0.331206 -7.58031e-008
fmort(1,22)     0.244232 -3.43199e-008
fmort(1,23)     0.406127 -2.89819e-008
fmort(1,24)     0.332903 -3.62489e-008
fmort(1,25)      0.33383 8.05592e-008
fmort(1,26)     0.303996 2.50139e-007
fmort(1,27)     0.299652 3.66294e-007
fmort(1,28)     0.415869 4.24798e-007
fmort(1,29)     0.318938 2.62656e-007
fmort(1,30)     0.490224 -5.41204e-007
logsel_slope_fsh[1](1)      0.13736 -1.15861e-009
sel50_fsh[1](1)      1.79973 7.42296e-009
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.9505 -5.98341e-009
logsel_slope_ind[1](1)     0.665417 -2.51525e-009
sel50_ind[1](1)      1.48946 -1.20753e-008
repl_F    0.0429908 9.32687e-009
