ParName   Value   Gradient
mean_log_rec      13.7684 -1.27224e-005
log_Rzero       13.836 -3.64211e-007
rec_dev(-11)   -0.0969604 -1.19694e-006
rec_dev(-10)    -0.116145 -1.69646e-006
rec_dev(-9)     -0.22306 -1.85795e-006
rec_dev(-8)     0.112148 -2.1851e-006
rec_dev(-7)    0.0514321 -2.51404e-006
rec_dev(-6)     0.124961 -3.07586e-006
rec_dev(-5)   -0.0186062 -2.98902e-006
rec_dev(-4)    -0.095369 -2.87811e-006
rec_dev(-3)     0.164293 -4.52591e-006
rec_dev(-2)    0.0935842 -4.62289e-006
rec_dev(-1)    0.0162166 -3.99857e-006
rec_dev(0)    0.0300578 -3.64242e-006
rec_dev(1)   -0.0533596 -2.88263e-006
rec_dev(2)    0.0986612 -3.11939e-006
rec_dev(3)    0.0067499 -2.7126e-006
rec_dev(4)   -0.0148357 -2.25943e-006
rec_dev(5)     0.398826 -3.34898e-006
rec_dev(6)     0.106064 -2.03826e-006
rec_dev(7)    0.0109499 -1.93777e-006
rec_dev(8)     0.512356 -3.69142e-006
rec_dev(9)     0.021251 -2.09811e-006
rec_dev(10)     0.477307 -3.53094e-006
rec_dev(11)     0.306138 -2.86602e-006
rec_dev(12)   -0.0989397 -1.70081e-006
rec_dev(13)    -0.461481 -1.16022e-006
rec_dev(14)     0.526457 -3.87698e-006
rec_dev(15)     0.253994 -3.24106e-006
rec_dev(16)    0.0317952 -3.2941e-006
rec_dev(17)    -0.313312 -2.72404e-006
rec_dev(18)    -0.289363 -3.76142e-006
rec_dev(19)     0.385878 -9.56352e-006
rec_dev(20)    -0.387636 -5.66666e-006
rec_dev(21)    -0.582082 -6.00252e-006
rec_dev(22)    -0.708312 -6.90924e-006
rec_dev(23)    -0.300678 -1.3839e-005
rec_dev(24)     0.108108 -2.83598e-005
rec_dev(25)     0.261487 -4.13309e-005
rec_dev(26)    0.0707361 -3.90707e-005
rec_dev(27)    -0.148779 -3.14609e-005
rec_dev(28)    -0.449914 -1.80567e-005
rec_dev(29)    -0.308573 -1.12659e-005
rec_dev(30)    -0.105397 -3.7962e-006
fmort(1,1)   0.00904603 -1.75267e-005
fmort(1,2)    0.0261503 -1.05428e-005
fmort(1,3)    0.0433391 -6.31438e-006
fmort(1,4)    0.0596166 -4.36196e-006
fmort(1,5)     0.046971 -4.66361e-006
fmort(1,6)    0.0851441 -2.09741e-006
fmort(1,7)    0.0869416 -1.66497e-006
fmort(1,8)     0.183149 2.24131e-008
fmort(1,9)     0.108092 -7.16182e-007
fmort(1,10)     0.132495 -3.9041e-007
fmort(1,11)     0.150282 -1.50459e-007
fmort(1,12)     0.162659 5.64037e-008
fmort(1,13)     0.118241 -1.19599e-006
fmort(1,14)     0.171386 -9.39222e-007
fmort(1,15)     0.182345 -4.40335e-007
fmort(1,16)      0.16587 3.70469e-007
fmort(1,17)     0.324086 1.75606e-006
fmort(1,18)     0.263936   4.822e-007
fmort(1,19)     0.262053 4.09329e-007
fmort(1,20)     0.258136 1.07779e-006
fmort(1,21)     0.363302 2.92175e-006
fmort(1,22)     0.263231  1.2936e-006
fmort(1,23)     0.433768 3.26949e-006
fmort(1,24)     0.361101 4.97057e-006
fmort(1,25)     0.356541 7.36576e-006
fmort(1,26)     0.330558 8.52074e-006
fmort(1,27)     0.337001 9.75675e-006
fmort(1,28)     0.489893 8.89416e-006
fmort(1,29)     0.392525 -7.69795e-006
fmort(1,30)     0.636794 -2.6685e-005
logsel_slope_fsh[1](1)   -0.0777211 -3.92911e-007
sel50_fsh[1](1)      2.10091 -7.65455e-007
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]      -14.943 3.66454e-007
logsel_slope_ind[1](1)     0.782739 9.45222e-008
sel50_ind[1](1)      1.40754 5.88749e-007
repl_F   0.00515587 -1.96039e-007
