ParName   Value   Gradient
SR_parm[1]      6.89331 -1.01619e-005
recdev_early(-11)     0.164364 -9.9228e-006
recdev_early(-10)   -0.0545512 -2.04937e-006
recdev_early(-9)     -0.12782 -2.17962e-006
recdev_early(-8) 3.60765e-005 -2.79378e-006
recdev_early(-7)   0.00317617 -4.15284e-006
recdev_early(-6)   -0.0437866 -4.04871e-006
recdev_early(-5)     -0.11103 -4.33608e-006
recdev_early(-4)  -0.00320888 -4.96305e-006
recdev_early(-3)  -0.00221968 -4.77091e-006
recdev_early(-2)   -0.0592802 -4.35682e-006
recdev_early(-1)   -0.0578509 -3.35611e-006
recdev_early(0)    -0.041202 -2.08392e-006
recdev1(1)      0.21362 -5.24886e-006
recdev1(2)    -0.220804 4.50616e-007
recdev1(3)     0.115086 -2.00528e-006
recdev1(4)    0.0934673 -1.40372e-006
recdev1(5)    -0.110322 3.62094e-006
recdev1(6)    -0.133531 6.03335e-007
recdev1(7)    -0.116827 1.69981e-008
recdev1(8)    0.0291992 2.55386e-006
recdev1(9)  -0.00367547 2.66158e-006
recdev1(10)     0.216257 2.75183e-006
recdev1(11)    -0.293268 1.97947e-006
recdev1(12)    -0.206481 5.97175e-007
recdev1(13)     0.413031 2.96776e-006
recdev1(14)     0.333879 2.69053e-006
recdev1(15)    -0.176039 5.74469e-007
recdev1(16)     0.132888 2.45903e-006
recdev1(17)    -0.111718 -1.23345e-006
recdev1(18)     0.158733 -7.73984e-007
recdev1(19)     -0.31683 -5.65064e-007
recdev1(20)    -0.104353 -7.28562e-007
recdev1(21)    -0.162239 -1.29881e-006
recdev1(22)    0.0994436 -3.0491e-006
recdev1(23)   -0.0562383 -2.9083e-006
recdev1(24)   -0.0346101 -1.76108e-007
recdev1(25)     0.327258 -3.13097e-006
recdev1(26)     -0.20937 -7.06488e-007
recdev1(27)    0.0770735 -8.0665e-007
recdev1(28)    0.0623624 -6.58377e-007
recdev1(29)  -0.00171623   5.272e-007
recdev1(30)   -0.0142759 3.38103e-007
init_F[1]    0.0187123 2.48762e-006
F_rate[1]    0.0101364 -1.69468e-005
F_rate[2]    0.0293761 9.03098e-007
F_rate[3]    0.0487725 -6.16124e-006
F_rate[4]    0.0672793 -4.53633e-006
F_rate[5]    0.0529727 -7.67509e-006
F_rate[6]    0.0956489 -1.66586e-006
F_rate[7]    0.0974023 -1.23019e-006
F_rate[8]     0.206309 -1.21339e-006
F_rate[9]     0.120497 -6.35846e-007
F_rate[10]     0.145434 -1.73836e-007
F_rate[11]     0.164397 2.89328e-007
F_rate[12]     0.175238 5.55602e-007
F_rate[13]     0.126218 -3.92945e-007
F_rate[14]     0.181333 7.67362e-007
F_rate[15]     0.191408 7.54595e-007
F_rate[16]     0.168107 7.45724e-007
F_rate[17]     0.324476 4.89194e-007
F_rate[18]     0.263927 1.68071e-008
F_rate[19]     0.258566 -4.25611e-007
F_rate[20]      0.25475 -2.17793e-007
F_rate[21]     0.350412 5.00461e-007
F_rate[22]     0.250367 8.82146e-007
F_rate[23]     0.412738 8.26509e-007
F_rate[24]     0.346919 2.51786e-007
F_rate[25]     0.349356 6.67894e-007
F_rate[26]     0.324272 3.58412e-007
F_rate[27]     0.321113 -4.13283e-007
F_rate[28]     0.446512 2.04398e-007
F_rate[29]     0.332608 -3.94364e-007
F_rate[30]     0.492589 -8.40087e-007
Q_parm[1]     -7.91208  5.4838e-008
selparm[1]       2.1031 -4.08868e-007
selparm[2]      3.03698 2.90766e-007
selparm[3]      1.53904 -5.10802e-007
selparm[4]      1.57584  2.1415e-008
