ParName   Value   Gradient
mean_log_rec      13.6978 -3.74909e-006
log_Rzero      13.7967 2.65218e-007
rec_dev(-11)    -0.209969 2.14094e-007
rec_dev(-10)    -0.247101 2.03911e-007
rec_dev(-9)    0.0320401 3.60831e-006
rec_dev(-8)    -0.295592 4.96594e-008
rec_dev(-7)      0.11068 -1.50927e-006
rec_dev(-6)    0.0901976 -3.98391e-007
rec_dev(-5)    0.0195144 -4.6576e-007
rec_dev(-4)    0.0297356 -4.21549e-007
rec_dev(-3)   0.00520223 -4.0127e-007
rec_dev(-2)     0.107173 2.49634e-007
rec_dev(-1)     0.131557 3.05828e-007
rec_dev(0)     0.150635 8.67194e-007
rec_dev(1)    0.0601047  1.0361e-006
rec_dev(2)    -0.088038 1.32603e-006
rec_dev(3)    -0.124906 1.53302e-006
rec_dev(4)    -0.160542 1.84791e-006
rec_dev(5)     0.750784 4.34483e-006
rec_dev(6)     0.503708 3.84619e-006
rec_dev(7)     0.328815  3.3593e-006
rec_dev(8)     0.183818 3.40984e-006
rec_dev(9)   -0.0168859 1.73915e-006
rec_dev(10)     0.439911 2.94716e-006
rec_dev(11)    0.0395133 9.33531e-007
rec_dev(12)    -0.154941 1.24491e-007
rec_dev(13)    -0.173433 -5.37592e-007
rec_dev(14)     0.241917 -9.21461e-007
rec_dev(15)    0.0173116 -1.5811e-006
rec_dev(16)     0.377085 -3.08848e-006
rec_dev(17)    -0.683105 -2.48783e-006
rec_dev(18)    0.0186764 -2.54111e-006
rec_dev(19)     0.465902 -5.11812e-006
rec_dev(20)     0.139658 -3.93904e-006
rec_dev(21)    -0.302968 -3.9379e-006
rec_dev(22)     -0.42119 -4.98062e-006
rec_dev(23)     0.387559 -1.50766e-005
rec_dev(24)     -0.17961 -1.04877e-005
rec_dev(25)     0.413666 -2.18615e-005
rec_dev(26)    -0.203516 -1.22141e-005
rec_dev(27)   -0.0524632 -1.27456e-005
rec_dev(28)    -0.131262 -8.38299e-006
rec_dev(29)    -0.486164 -4.00255e-006
rec_dev(30)     0.263423 -2.4205e-006
fmort(1,1)   0.00981105 -1.12334e-005
fmort(1,2)    0.0278361 4.65945e-007
fmort(1,3)    0.0459388 8.10833e-008
fmort(1,4)    0.0618241 4.51122e-006
fmort(1,5)    0.0490743 -4.01622e-006
fmort(1,6)    0.0878076 2.11829e-006
fmort(1,7)    0.0874624 -1.14769e-006
fmort(1,8)     0.186399 1.46985e-006
fmort(1,9)     0.106917 1.37549e-007
fmort(1,10)     0.131751  5.0915e-007
fmort(1,11)      0.14943 1.04117e-006
fmort(1,12)     0.162195 3.94586e-006
fmort(1,13)     0.117755  5.7109e-006
fmort(1,14)     0.172816 6.62294e-007
fmort(1,15)     0.183141 2.63582e-006
fmort(1,16)     0.164425 2.65539e-006
fmort(1,17)     0.323238 5.72349e-006
fmort(1,18)     0.265428 -8.37895e-008
fmort(1,19)     0.267621  5.6198e-007
fmort(1,20)     0.264548 -4.54828e-007
fmort(1,21)     0.367078  9.4164e-007
fmort(1,22)     0.267751 9.50427e-007
fmort(1,23)     0.445082 1.44968e-006
fmort(1,24)     0.370794 4.26422e-006
fmort(1,25)     0.372829 4.54043e-006
fmort(1,26)      0.33964 4.71229e-006
fmort(1,27)     0.335392 4.68205e-006
fmort(1,28)     0.472468 6.08232e-007
fmort(1,29)     0.364013 -8.48806e-006
fmort(1,30)     0.553556 -8.98674e-006
logsel_slope_fsh[1](1)    0.0307852 -7.69251e-008
sel50_fsh[1](1)       2.0878 -1.73424e-007
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.9315  2.0616e-007
logsel_slope_ind[1](1)     0.610432 3.63268e-008
sel50_ind[1](1)      1.53297   7.879e-007
repl_F    0.0996004 -2.30301e-007
