ParName   Value   Gradient
SR_parm[1]       6.9193 7.61121e-005
recdev_early(-11)    -0.108649  0.000136672
recdev_early(-10)     0.044134 7.82802e-005
recdev_early(-9)     0.136258 5.32946e-005
recdev_early(-8)    0.0683201 5.37031e-005
recdev_early(-7)   -0.0522185 3.51937e-005
recdev_early(-6)   -0.0131543 6.08362e-005
recdev_early(-5)   -0.0113611 6.57759e-005
recdev_early(-4)   -0.0527523 2.73471e-005
recdev_early(-3)     0.100153 6.14535e-005
recdev_early(-2)   0.00772728 3.20611e-006
recdev_early(-1)  -0.00839708 -2.34407e-005
recdev_early(0)   -0.0704953 -0.000106195
recdev1(1)    -0.111647  -0.00015466
recdev1(2)    -0.175013  -0.00017778
recdev1(3)    -0.207227 -0.000185035
recdev1(4)     0.196664 -0.000160602
recdev1(5)     0.123809 -0.000154363
recdev1(6)    0.0624031  -0.00015618
recdev1(7)    0.0616455 -0.000160948
recdev1(8)   -0.0323591 -0.000141608
recdev1(9)     0.196258  -0.00012952
recdev1(10)    -0.010213 -8.35037e-005
recdev1(11)   -0.0899194 -6.24762e-005
recdev1(12)   -0.0569043 -1.73882e-005
recdev1(13)    0.0201001 3.07653e-006
recdev1(14)   -0.0132979 3.51127e-005
recdev1(15)     0.160114 6.39291e-005
recdev1(16)    -0.303712 3.18956e-005
recdev1(17)    0.0126995   0.00010654
recdev1(18)     0.188286  0.000194037
recdev1(19)     0.107795  0.000157227
recdev1(20)    -0.113416  0.000129121
recdev1(21)    -0.185489  0.000154202
recdev1(22)     0.135252  0.000166684
recdev1(23)    -0.123986  0.000160576
recdev1(24)     0.281235  0.000182385
recdev1(25)     -0.02844 9.25815e-005
recdev1(26) -0.000639691 4.33859e-005
recdev1(27)    -0.012761 8.97304e-006
recdev1(28)    -0.339703 2.45386e-005
recdev1(29)      0.25773 -3.05377e-006
recdev1(30)  0.000737276 -2.75343e-005
init_F[1]    0.0114375 -3.0013e-005
F_rate[1]   0.00965656  0.000536282
F_rate[2]    0.0274343  0.000242237
F_rate[3]    0.0456958  0.000142487
F_rate[4]    0.0611539 8.33567e-005
F_rate[5]    0.0490302 3.87334e-005
F_rate[6]    0.0891828 1.15362e-005
F_rate[7]    0.0910014 -1.94868e-005
F_rate[8]     0.192922 -2.28057e-006
F_rate[9]      0.11401 -5.54073e-005
F_rate[10]     0.139229 -5.53743e-005
F_rate[11]     0.157853 -5.14771e-005
F_rate[12]     0.169684 -5.14994e-005
F_rate[13]     0.121812 -6.72983e-005
F_rate[14]     0.175485 -4.99558e-005
F_rate[15]     0.185765 -4.51945e-005
F_rate[16]     0.168095 -4.56761e-005
F_rate[17]     0.323311 -3.38737e-005
F_rate[18]     0.268034 -3.58225e-005
F_rate[19]     0.265265 -2.45299e-005
F_rate[20]     0.261004 -1.45386e-005
F_rate[21]     0.368515 -1.57242e-005
F_rate[22]     0.267959 -1.14446e-005
F_rate[23]     0.442392 -3.27128e-005
F_rate[24]      0.37476 -2.15046e-005
F_rate[25]     0.377052 7.91732e-006
F_rate[26]     0.348986 1.80882e-005
F_rate[27]     0.350418 1.48466e-005
F_rate[28]     0.499034 1.86786e-005
F_rate[29]     0.392732 4.37339e-005
F_rate[30]     0.618484 -5.51618e-006
Q_parm[1]     -7.92428 2.38711e-006
selparm[1]      2.03151 6.82521e-005
selparm[2]      2.97134 -2.65284e-006
selparm[3]       1.4654 1.21894e-005
selparm[4]      1.51688 -1.70662e-005
