ParName   Value   Gradient
SR_parm[1]      6.90549 -5.26035e-005
recdev_early(-11)       0.1054 -6.67815e-005
recdev_early(-10)    -0.139126 -2.2006e-005
recdev_early(-9)   -0.0354578 -1.65461e-005
recdev_early(-8)    0.0239608 -3.35618e-005
recdev_early(-7)    -0.105088 -2.44541e-005
recdev_early(-6)  -0.00891597 -3.08602e-005
recdev_early(-5)    0.0411596 -3.55573e-005
recdev_early(-4)       0.1056 -3.3186e-005
recdev_early(-3)   -0.0491318 -3.50713e-005
recdev_early(-2)  -0.00877667 -3.18906e-005
recdev_early(-1)     0.100595 -2.63387e-005
recdev_early(0)     0.100637 -2.77589e-005
recdev1(1)   -0.0777604 -2.47413e-005
recdev1(2)    0.0890257 -2.85608e-005
recdev1(3)     0.148219 -2.54764e-005
recdev1(4)   -0.0805902 -2.48431e-005
recdev1(5)    -0.347389 -1.68329e-005
recdev1(6)    -0.136047 -1.45545e-005
recdev1(7)     0.110219 -1.96471e-005
recdev1(8)     0.151485 -1.09685e-005
recdev1(9)     0.350263 -1.39088e-005
recdev1(10)   -0.0294371 -1.12847e-005
recdev1(11)    -0.160949 -6.65639e-006
recdev1(12)    0.0106158 5.14165e-006
recdev1(13)   -0.0317059 -1.57117e-006
recdev1(14)     0.350786 1.31861e-005
recdev1(15)     -0.31816 -2.60559e-006
recdev1(16)     0.138235 6.18768e-006
recdev1(17)    -0.285011 -2.29164e-006
recdev1(18)    0.0368539 7.81809e-006
recdev1(19)    -0.192087 1.26425e-005
recdev1(20)    -0.128984 6.38365e-006
recdev1(21)     0.194625 3.74267e-005
recdev1(22)    0.0135675 2.45054e-005
recdev1(23)    -0.240979 1.44464e-005
recdev1(24)     0.280947 4.17841e-005
recdev1(25)     0.168472 3.34862e-005
recdev1(26)    -0.121982 1.05676e-005
recdev1(27)     0.167708 8.18708e-006
recdev1(28)    -0.093083 -4.57894e-006
recdev1(29)    0.0291437 -8.14902e-006
recdev1(30)   0.00399868 -5.46573e-006
init_F[1]   0.00359692 1.01355e-005
F_rate[1]   0.00881567 -0.000113478
F_rate[2]    0.0254077 -5.58435e-005
F_rate[3]    0.0418761 -3.3619e-005
F_rate[4]    0.0575329 -1.93215e-005
F_rate[5]    0.0454382 -2.03053e-005
F_rate[6]    0.0827289 -5.67094e-006
F_rate[7]    0.0844449 -6.37917e-006
F_rate[8]      0.17631 -3.5238e-006
F_rate[9]      0.10318 -1.03743e-005
F_rate[10]     0.125792 -1.0283e-005
F_rate[11]     0.144176 -8.1319e-006
F_rate[12]     0.153558 -5.18501e-006
F_rate[13]     0.111309 -2.41094e-006
F_rate[14]     0.161053 4.03784e-007
F_rate[15]     0.172786 -3.6756e-007
F_rate[16]     0.153797 -2.28189e-006
F_rate[17]     0.303105 -6.05023e-006
F_rate[18]     0.244385 -6.48597e-006
F_rate[19]     0.243143 -6.30175e-006
F_rate[20]     0.241043 -5.22181e-006
F_rate[21]     0.334458 -4.39746e-006
F_rate[22]     0.241533 -3.44836e-006
F_rate[23]     0.404338 -4.06787e-006
F_rate[24]     0.332012 1.87227e-007
F_rate[25]     0.335677 -1.61886e-006
F_rate[26]     0.317191 1.48052e-006
F_rate[27]     0.323015   2.987e-006
F_rate[28]     0.473649  2.1758e-006
F_rate[29]     0.378222 4.96825e-006
F_rate[30]     0.604006 5.15453e-006
Q_parm[1]      -7.9863 -2.0376e-007
selparm[1]      1.91116 1.41175e-005
selparm[2]      2.66904  1.8983e-006
selparm[3]      1.45641 3.79081e-006
selparm[4]      1.32642 -8.45765e-007
