ParName   Value   Gradient
mean_log_rec      13.7455 3.20682e-006
log_Rzero       13.725 4.16152e-008
rec_dev(-11)    -0.124389 -4.72139e-007
rec_dev(-10)    -0.148359 -1.22904e-006
rec_dev(-9)    -0.223221 -2.57583e-008
rec_dev(-8)  -0.00165932 1.80304e-006
rec_dev(-7)   0.00833588  1.0093e-006
rec_dev(-6)   -0.0165288 -2.49499e-007
rec_dev(-5)   -0.0179127 -3.04456e-007
rec_dev(-4)    0.0885838 -1.9242e-006
rec_dev(-3)     0.137924 -1.8117e-006
rec_dev(-2)    0.0907733 -1.21713e-006
rec_dev(-1)    0.0425053 -1.14163e-006
rec_dev(0)    0.0796165 -2.08543e-007
rec_dev(1)    0.0851505 -7.58457e-007
rec_dev(2)     0.013084 -1.57212e-006
rec_dev(3)   -0.0372788 2.81123e-007
rec_dev(4)     0.126537 -1.7284e-006
rec_dev(5)     0.191195 -3.03765e-006
rec_dev(6)    0.0648339 -2.31475e-006
rec_dev(7)    0.0148724 -1.8591e-006
rec_dev(8)    0.0545943 -1.21046e-006
rec_dev(9)     0.172615 -3.29674e-006
rec_dev(10)    -0.215903 -9.83932e-008
rec_dev(11)   -0.0411727 -6.80129e-007
rec_dev(12)    -0.253788 -7.0561e-007
rec_dev(13)     0.026138 -2.53712e-006
rec_dev(14)     0.117259 -5.43861e-006
rec_dev(15)   -0.0267185 -3.11371e-006
rec_dev(16)    -0.255639 -9.97381e-007
rec_dev(17)    -0.126018 -7.93338e-007
rec_dev(18)      0.28785 -1.94472e-006
rec_dev(19)     -0.30313 1.67939e-006
rec_dev(20)    -0.101665 4.04372e-006
rec_dev(21)    -0.247897 5.65188e-006
rec_dev(22)    -0.459108 6.89876e-006
rec_dev(23)    -0.516114 8.86397e-006
rec_dev(24)    -0.314367  1.3554e-005
rec_dev(25)     -0.17277 1.85597e-005
rec_dev(26)    -0.247226 1.87291e-005
rec_dev(27)    -0.390537 1.49147e-005
rec_dev(28)    -0.537842 8.69151e-006
rec_dev(29)      0.12368 9.33898e-006
rec_dev(30)    -0.388333 1.38466e-006
fmort(1,1)   0.00938024 -9.72515e-007
fmort(1,2)    0.0269919 -2.46634e-006
fmort(1,3)    0.0443054 2.39166e-006
fmort(1,4)    0.0597989 -1.78528e-006
fmort(1,5)    0.0473277 5.27731e-006
fmort(1,6)    0.0859707 -3.13529e-006
fmort(1,7)    0.0866778 -1.55708e-006
fmort(1,8)     0.182298 1.02305e-006
fmort(1,9)     0.106952 3.84377e-008
fmort(1,10)      0.13005 -1.92347e-006
fmort(1,11)     0.148273 -1.91904e-006
fmort(1,12)     0.157722 -1.22435e-006
fmort(1,13)     0.114744 1.26682e-006
fmort(1,14)     0.165537  2.4783e-006
fmort(1,15)     0.175863 7.17492e-007
fmort(1,16)     0.158109 9.97193e-007
fmort(1,17)     0.308418 4.67381e-007
fmort(1,18)     0.249246 -1.37917e-006
fmort(1,19)     0.246227 -2.31565e-006
fmort(1,20)     0.245531 -1.79852e-006
fmort(1,21)     0.341683 -1.88109e-006
fmort(1,22)     0.249041 -2.65746e-006
fmort(1,23)     0.419401 -3.83545e-006
fmort(1,24)     0.350343 -3.85691e-006
fmort(1,25)     0.346133 -4.65765e-006
fmort(1,26)     0.319771 -4.93054e-006
fmort(1,27)      0.31444 -3.2364e-006
fmort(1,28)     0.443189 -3.48654e-006
fmort(1,29)     0.344335 6.98591e-006
fmort(1,30)     0.535372 1.21665e-005
logsel_slope_fsh[1](1)    0.0764754 -1.08042e-009
sel50_fsh[1](1)      1.91229 4.34395e-007
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8372  4.6028e-007
logsel_slope_ind[1](1)     0.721601 2.85859e-008
sel50_ind[1](1)      1.50701 -2.82399e-007
repl_F     0.163124 -3.02504e-008
